DayOfWeek,DepTime,TaxiOut,DepTime_Min
5,1605.0,44.0,965.0
5,2238.0,29.0,1358.0
5,2016.0,19.0,1216.0
5,1205.0,152.0,725.0
5,1526.0,61.0,926.0
5,913.0,53.0,553.0
5,2347.0,16.0,1427.0
5,708.0,19.0,428.0
5,1557.0,165.0,957.0
5,729.0,37.0,449.0
5,25.0,23.0,25.0
5,48.0,20.0,48.0
5,1757.0,27.0,1077.0
5,1057.0,57.0,657.0
5,1656.0,52.0,1016.0
5,1430.0,36.0,870.0
5,1116.0,53.0,676.0
5,1938.0,31.0,1178.0
5,855.0,42.0,535.0
5,1454.0,119.0,894.0
5,1252.0,44.0,772.0
5,1701.0,34.0,1021.0
5,600.0,42.0,360.0
5,2212.0,20.0,1332.0
5,923.0,31.0,563.0
5,1654.0,31.0,1014.0
5,844.0,27.0,524.0
5,922.0,62.0,562.0
5,912.0,66.0,552.0
5,1940.0,20.0,1180.0
5,1943.0,23.0,1183.0
5,657.0,19.0,417.0
5,1310.0,68.0,790.0
5,2338.0,29.0,1418.0
5,1329.0,80.0,809.0
5,849.0,33.0,529.0
5,1050.0,28.0,650.0
5,1529.0,31.0,929.0
5,2246.0,25.0,1366.0
5,2206.0,33.0,1326.0
5,912.0,84.0,552.0
5,2048.0,25.0,1248.0
5,2352.0,21.0,1432.0
5,1344.0,41.0,824.0
5,2223.0,22.0,1343.0
5,554.0,18.0,354.0
5,1502.0,149.0,902.0
5,1558.0,40.0,958.0
5,1929.0,26.0,1169.0
5,731.0,47.0,451.0
5,1050.0,39.0,650.0
5,707.0,18.0,427.0
5,1330.0,99.0,810.0
5,1059.0,127.0,659.0
5,534.0,21.0,334.0
5,1851.0,36.0,1131.0
5,2259.0,20.0,1379.0
5,2010.0,19.0,1210.0
5,904.0,64.0,544.0
5,1626.0,116.0,986.0
5,847.0,33.0,527.0
5,1303.0,45.0,783.0
5,1043.0,55.0,643.0
5,2221.0,36.0,1341.0
5,1300.0,38.0,780.0
5,1833.0,35.0,1113.0
5,2356.0,39.0,1436.0
5,1041.0,41.0,641.0
5,2128.0,20.0,1288.0
5,1622.0,52.0,982.0
5,1123.0,50.0,683.0
5,953.0,56.0,593.0
5,2137.0,29.0,1297.0
5,2012.0,32.0,1212.0
5,858.0,32.0,538.0
5,2022.0,23.0,1222.0
